gene,scores,log2FC,pvals,padj,significance
HSP90AA1,93.07071,4.1742377,0.0,0.0,Up
NEAT1,88.6911,1.3358572,0.0,0.0,Up
HSPA1A,59.450058,5.2868953,0.0,0.0,Up
HIF1A,58.753754,1.7551335,0.0,0.0,Up
B2M,56.01223,2.9892452,0.0,0.0,Up
PSAP,54.149406,3.2914898,0.0,0.0,Up
PLXDC2,52.83234,1.4062717,0.0,0.0,Up
ABCA1,52.66582,1.8441154,0.0,0.0,Up
MT-CO2,51.312126,1.4992557,0.0,0.0,Up
CHST11,50.856003,1.2829072,0.0,0.0,Up
PLCG2,50.03653,1.5095334,0.0,0.0,Up
RUNX1,49.637608,1.1007687,0.0,0.0,Up
CTSB,49.21096,2.5486827,0.0,0.0,Up
FTL,48.178,3.479458,0.0,0.0,Up
GLUL,46.946583,2.4177716,0.0,0.0,Up
HSPH1,46.3118,3.1036043,0.0,0.0,Up
EIF4G3,45.06588,1.1419281,0.0,0.0,Up
ZEB2,44.609657,1.2496357,0.0,0.0,Up
PTMA,43.414265,2.390475,0.0,0.0,Up
LRP1,42.828876,1.9655664,0.0,0.0,Up
HSP90AB1,41.74215,3.3444347,0.0,0.0,Up
DENND1A,41.62326,1.3291091,0.0,0.0,Up
PICALM,41.45157,0.9068156,0.0,0.0,Up
DMXL2,41.17669,1.6756248,0.0,0.0,Up
VCAN,40.960285,2.153849,0.0,0.0,Up
SFMBT2,40.389103,1.4395161,0.0,0.0,Up
SH3PXD2B,40.20332,1.6917093,0.0,0.0,Up
FNDC3B,39.903057,0.73438114,0.0,0.0,Up
ASAP1,39.739746,1.0449593,0.0,0.0,Up
TRPS1,38.939594,1.1990812,0.0,0.0,Up
QKI,38.734512,0.85069454,0.0,0.0,Up
RAB1A,38.52853,1.0443485,0.0,0.0,Up
CEBPB,38.067955,3.4040263,0.0,0.0,Up
CTSD,37.99434,3.1837504,0.0,0.0,Up
SBF2,37.897972,0.9654864,0.0,0.0,Up
CLASP1,37.594246,1.1347122,2.669240289859333e-309,8.521036309935565e-307,Up
RNF149,36.05406,1.052841,1.1910655143011974e-284,3.530658488821407e-282,Up
ARID5B,35.63628,0.9412905,3.843700543479999e-278,1.0840728231853784e-275,Up
TMSB4X,35.124264,2.948975,2.8735266966023316e-270,7.801490704326891e-268,Up
ELL2,35.06735,0.9560401,2.1214850353635027e-269,5.706401877528681e-267,Up
RBPJ,34.86276,1.0749955,2.7281922212965507e-266,7.204907638969527e-264,Up
CCDC88A,34.66198,1.2992679,2.9481664656591646e-263,7.646806770303459e-261,Up
FTH1,34.512566,2.255121,5.197208680572411e-261,1.3360965678816685e-258,Up
PCNX1,34.436363,0.89592415,7.20497811863208e-260,1.8360053890022975e-257,Up
CD163,34.07593,2.0846913,1.676737595139198e-254,4.1990713050684224e-252,Up
WAC,33.972343,0.84019494,5.707232814264619e-253,1.405043332664298e-250,Up
TCF4,33.847435,1.0619411,3.958736215138709e-251,9.583440587481625e-249,Up
DOCK2,33.086735,1.0537001,4.611408819562969e-240,1.054814379592947e-237,Up
SLC11A1,33.021973,1.748653,3.930070640672998e-239,8.850275357484542e-237,Up
TIMP2,32.91263,1.9159052,1.449910482862031e-237,3.215259505888702e-235,Up
RPS19,32.59407,3.832521,4.976321264063583e-233,1.070830612748497e-230,Up
PHF21A,32.593327,0.94109946,5.099188654202012e-233,1.0892016941512385e-230,Up
PTGES3,32.509613,1.7096603,7.799256422820026e-232,1.6417999933545053e-229,Up
HSPD1,32.27151,2.2245994,1.7562759970956674e-228,3.54304289691869e-226,Up
ATP1B3,32.212067,1.4250956,1.1962158800281016e-227,2.3639504295793438e-225,Up
ACTB,32.154755,2.498208,7.578530257459451e-227,1.487542594454034e-224,Up
UBR5,32.03388,0.76137143,3.681991751228275e-225,7.178648347193382e-223,Up
HSPA1B,32.00367,5.315518,9.694281601717971e-225,1.8774592035327137e-222,Up
SKAP2,31.848635,1.2296205,1.3748879645310552e-222,2.6276641690544183e-220,Up
ADAMTS2,31.561018,2.3005378,1.2660906765355092e-218,2.2987458845847837e-216,Up
MT-CO1,31.45106,0.849357,4.059959845260745e-217,7.325579720796562e-215,Up
ACSL1,31.39983,1.3585021,2.0342478623999616e-216,3.647833358192524e-214,Up
HLA-E,31.281147,1.6286575,8.42227993466269e-215,1.4650732461194682e-212,Up
PDE4B,31.271364,1.3469186,1.1440783904636776e-214,1.9783022168434426e-212,Up
JUND,31.161583,1.8874229,3.5343288057611255e-213,6.004225251892438e-211,Up
ADAM9,31.014576,1.2317016,3.4288205953015167e-211,5.724553924914313e-209,Up
MAN1A1,30.889942,0.9918478,1.6302447898170088e-209,2.690830178646824e-207,Up
HIST1H2AC,30.776518,2.3783538,5.403661792688574e-208,8.818897476269836e-206,Up
RPS28,30.773678,4.198974,5.897731201403872e-208,9.571457620155446e-206,Up
TPST1,30.713533,1.2047132,3.7546375685911595e-207,6.02363821430512e-205,Up
KYNU,30.562334,1.5982736,3.877579205692078e-205,6.121938908986678e-203,Up
H2AFY,30.531984,1.7449471,9.808834051608414e-205,1.531971124727013e-202,Up
HLA-A,30.344883,2.0901124,2.935079440272499e-202,4.559575280209417e-200,Up
KCNMA1,30.32824,1.672507,4.865571828283884e-202,7.47856410643634e-200,Up
SDCBP,30.254923,1.4603045,4.494735583001209e-201,6.836233962627493e-199,Up
TXNIP,30.172264,0.9732951,5.476480295496964e-200,8.286028780426396e-198,Up
SLC8A1,30.112207,1.1237166,3.3537458680549355e-199,5.047995723678543e-197,Up
PIP4K2A,29.95879,0.85754067,3.380399103452011e-197,5.061886286354686e-195,Up
RPL13A,29.829258,3.346636,1.6312528144444134e-195,2.4301484235697544e-193,Up
RPL13,29.813646,3.1676474,2.599850953708153e-195,3.8533505206745837e-193,Up
FMNL2,29.746225,0.78973,1.9404147059025503e-194,2.8613729546431008e-192,Up
SLCO2B1,29.586231,1.6651205,2.246961068580723e-192,3.2801115096618097e-190,Up
IFI16,29.558395,1.1491891,5.1224909811670506e-192,7.440418150145141e-190,Up
PTPRC,29.406696,0.8598641,4.50915778735216e-190,6.452760281900506e-188,Up
IRAK3,29.379702,1.0324574,9.97899265493557e-190,1.4210281207150896e-187,Up
HIF1A-AS3,29.150501,1.127724,8.232745379549885e-187,1.1609769576501173e-184,Up
P4HA1,28.953337,1.4368364,2.5475970581659785e-184,3.575250943947907e-182,Up
IGF2R,28.928299,0.94193727,5.262528487941525e-184,7.314662802617287e-182,Up
MT-ND4,28.885271,0.8893038,1.828204161753445e-183,2.5290157570922655e-181,Up
COL1A2,28.852352,2.0538304,4.7340113607534234e-183,6.517679148335875e-181,Up
OSBPL8,28.66679,0.8446235,9.902068285695905e-181,1.3379306218579816e-178,Up
COL3A1,28.597906,2.4446049,7.134055493903525e-180,9.594644078606361e-178,Up
GRB2,28.494719,1.1193691,1.3619708360190098e-178,1.80663254732202e-176,Up
CANX,28.488678,2.032204,1.6181071381659281e-178,2.136636925623646e-176,Up
MGAT1,28.479671,2.354789,2.0919570294000315e-178,2.7498349187362407e-176,Up
SOD2,28.372143,1.0825291,4.46319750853979e-177,5.840355298336977e-175,Up
HSPA8,28.286913,4.017213,5.006791871933513e-176,6.522300622406662e-174,Up
EEF1A1,28.131502,2.8626049,4.0356186215837e-174,5.187377033495863e-172,Up
MT-CO3,27.975971,0.8030586,3.1859641655923297e-172,4.0240112613242255e-170,Up
CBLB,27.949461,0.7479633,6.692625371207763e-172,8.416483421367338e-170,Up
FNBP1,27.844212,0.78468263,1.2658218881431067e-170,1.5782028262041736e-168,Up
RAPGEF1,27.830328,0.7890376,1.8638747963648106e-170,2.3139129416409296e-168,Up
MYCBP2,27.455578,0.6405282,5.959831452126922e-166,7.201803617311081e-164,Up
ABHD3,27.455488,1.4575627,5.974646030196112e-166,7.201803617311081e-164,Up
FNIP1,27.286076,0.77167785,6.205907343815398e-164,7.449653237100715e-162,Up
CTSS,27.117546,1.8876117,6.115467284006751e-162,7.251196922465148e-160,Up
LAMP1,27.085339,2.4313908,1.4656048971761633e-161,1.7307244822344528e-159,Up
ACVR1,27.077656,2.6542985,1.8051035288807362e-161,2.1230063770844288e-159,Up
ATP13A3,27.061855,1.0099647,2.7701840198792353e-161,3.244913136189185e-159,Up
TFRC,27.04642,1.5897526,4.2085059142991244e-161,4.909923566682312e-159,Up
TBL1XR1,26.948122,0.6327185,6.000780967111198e-160,6.9451269758796936e-158,Up
SAMSN1,26.839977,1.3388599,1.104252336454707e-158,1.272957554524176e-156,Up
XPO1,26.836866,0.85343516,1.2005637579878417e-158,1.3785129316026403e-156,Up
SND1,26.80019,0.6915107,3.214848562824756e-158,3.662405911767026e-156,Up
PLIN2,26.728794,2.8390002,2.1787000722111194e-157,2.4531487247183342e-155,Up
RREB1,26.71061,0.7913471,3.5441456439412e-157,3.975190384420535e-155,Up
