pathway,ligand,receptor,sender,receiver,COVID,Control,log2FC
Chemokine_signaling,CCL2,CCR2,B_cell,B_cell,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,B_cell,Endothelial,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,B_cell,Epithelial,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,B_cell,Fibroblast,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,B_cell,Mast_cell,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,B_cell,Myeloid,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,B_cell,NK_cell,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,B_cell,Plasma_cell,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,B_cell,T_cell,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,Endothelial,B_cell,0.00062980637,9.8375735e-05,0.5693288
Chemokine_signaling,CCL2,CCR2,Endothelial,Endothelial,2.8756485e-05,0.00010512296,-0.10330534
Chemokine_signaling,CCL2,CCR2,Endothelial,Epithelial,3.5542296e-05,2.6177722e-05,0.013105907
Chemokine_signaling,CCL2,CCR2,Endothelial,Fibroblast,4.5254405e-05,0.0,0.063854046
Chemokine_signaling,CCL2,CCR2,Endothelial,Mast_cell,0.0,0.0003031908,-0.38204834
Chemokine_signaling,CCL2,CCR2,Endothelial,Myeloid,0.0011539297,0.00041503302,0.6061354
Chemokine_signaling,CCL2,CCR2,Endothelial,NK_cell,0.0016208168,0.0,1.3900163
Chemokine_signaling,CCL2,CCR2,Endothelial,Plasma_cell,0.015160326,0.00069066003,3.2567976
Chemokine_signaling,CCL2,CCR2,Endothelial,T_cell,0.001057565,0.0007818423,0.20756832
Chemokine_signaling,CCL2,CCR2,Epithelial,B_cell,3.0719406e-05,4.181831e-06,0.03763107
Chemokine_signaling,CCL2,CCR2,Epithelial,Endothelial,1.4026251e-06,4.4686476e-06,-0.0044104364
Chemokine_signaling,CCL2,CCR2,Epithelial,Epithelial,1.7336096e-06,1.1127827e-06,0.0008943764
Chemokine_signaling,CCL2,CCR2,Epithelial,Fibroblast,2.2073268e-06,0.0,0.0031810931
Chemokine_signaling,CCL2,CCR2,Epithelial,Mast_cell,0.0,1.28882675e-05,-0.01847496
Chemokine_signaling,CCL2,CCR2,Epithelial,Myeloid,5.6284025e-05,1.7642542e-05,0.053766992
Chemokine_signaling,CCL2,CCR2,Epithelial,NK_cell,7.905689e-05,0.0,0.10977089
Chemokine_signaling,CCL2,CCR2,Epithelial,Plasma_cell,0.0007394594,2.9359106e-05,0.7568926
Chemokine_signaling,CCL2,CCR2,Epithelial,T_cell,5.1583746e-05,3.3235152e-05,0.025395086
Chemokine_signaling,CCL2,CCR2,Fibroblast,B_cell,0.00089034304,0.0002216247,0.62984693
Chemokine_signaling,CCL2,CCR2,Fibroblast,Endothelial,4.0652394e-05,0.00023682513,-0.2491533
Chemokine_signaling,CCL2,CCR2,Fibroblast,Epithelial,5.0245344e-05,5.8974194e-05,-0.011941021
